Time,Label
168.000298,0
168.000627,0
168.00999,0
168.011281,0
168.015918,0
168.019682,0
168.021935,0
168.029374,0
168.032589,0
168.039066,0
168.043243,0
168.046372,0
168.048758,0
168.053897,0
168.05845,0
168.064551,0
168.065092,0
168.068142,0
168.075205,0
168.077834,0
168.085859,0
168.087526,0
168.087908,0
168.096513,0
168.097244,0
168.105012,0
168.106962,0
168.106965,0
168.107167,0
168.11668,0
168.117818,0
168.126398,0
168.127394,0
168.128469,0
168.136116,0
168.13912,0
168.145834,0
168.149771,0
168.155552,0
168.160422,0
168.160746,0
168.16527,0
168.171073,0
168.174988,0
168.181724,0
168.184706,0
168.185103,0
168.192375,0
168.194424,0
168.203026,0
168.204142,0
168.209697,0
168.213677,0
168.21386,0
168.216796,0
168.223599,0
168.224328,0
168.233338,0
168.234979,0
168.240242,0
168.243077,0
168.244622,0
168.245676,0
168.252816,0
168.256373,0
168.262555,0
168.26707,0
168.269529,0
168.272294,0
168.277767,0
168.282033,0
168.288464,0
168.291772,0
168.299161,0
168.299357,0
168.301511,0
168.309858,0
168.31125,0
168.320555,0
168.320989,0
168.330728,0
168.330728,0
168.331252,0
168.340467,0
168.341949,0
168.350206,0
168.351706,0
168.352646,0
168.355706,0
168.359948,0
168.361834,0
168.363343,0
168.363486,0
168.36969,0
168.374048,0
168.379432,0
168.384753,0
168.385105,0
168.389174,0
168.395458,0
168.398916,0
168.406163,0
168.408658,0
168.412478,0
168.416868,0
168.4184,0
168.427573,0
168.428142,0
168.437884,0
168.438278,0
168.447626,0
168.448983,0
168.449448,0
168.457368,0
168.459688,0
168.46711,0
168.470393,0
168.476852,0
168.481098,0
168.48386,0
168.486594,0
168.491803,0
168.496321,0
168.502508,0
168.505326,0
168.506048,0
168.507828,0
168.513241,0
168.515775,0
168.523974,0
168.525502,0
168.526092,0
168.534707,0
168.535229,0
168.544956,0
168.54544,0
168.554683,0
168.556173,0
168.560693,0
168.56441,0
168.566906,0
168.574137,0
168.577639,0
168.583864,0
168.584565,0
168.588372,0
168.593591,0
168.599105,0
168.603318,0
168.609838,0
168.610656,0
168.613045,0
168.620571,0
168.621321,0
168.622772,0
168.631304,0
168.63248,0
168.642049,0
168.642188,0
168.646936,0
168.649668,0
168.651896,0
168.652794,0
168.661604,0
168.663539,0
168.670148,0
168.671312,0
168.674284,0
168.68102,0
168.685029,0
168.690728,0
168.695774,0
168.698635,0
168.700436,0
168.706519,0
168.710144,0
168.717264,0
168.719852,0
168.728009,0
168.72956,0
168.730342,0
168.738754,0
168.739268,0
168.748976,0
168.749499,0
168.750189,0
168.758684,0
168.75947,0
168.760244,0
168.768398,0
168.770989,0
168.774784,0
168.778112,0
168.781745,0
168.782599,0
168.787826,0
168.792501,0
168.79754,0
168.803257,0
168.807254,0
168.814013,0
168.814229,0
168.816968,0
168.824769,0
168.826682,0
168.835525,0
168.836396,0
168.842851,0
168.84611,0
168.846281,0
168.855824,0
168.857037,0
168.865538,0
168.867793,0
168.8696,0
168.875252,0
168.878549,0
168.882987,0
168.884966,0
168.88681,0
168.889305,0
168.894685,0
168.896427,0
168.900061,0
168.904404,0
168.910811,0
168.914123,0
168.919387,0
168.921561,0
168.923842,0
168.932311,0
168.933561,0
168.943061,0
168.94328,0
168.948193,0
168.952999,0
168.953811,0
168.962718,0
168.964561,0
168.972437,0
168.975311,0
168.982156,0
168.98247,0
168.986061,0
168.991875,0
168.996811,0
169.001594,1
169.007561,1
169.007615,1
169.011313,1
169.018311,1
169.021032,1
169.028989,1
169.029061,1
169.030742,1
169.039811,1
169.040452,1
169.048655,1
169.050162,1
169.050578,1
169.05932,1
169.059872,1
169.061345,1
169.069582,1
169.071379,1
169.072112,1
169.079292,1
169.082879,1
169.089002,1
169.093646,1
169.098712,1
169.103282,1
169.104413,1
169.108422,1
169.11518,1
169.118132,1
169.125947,1
169.127842,1
169.13093,1
169.136714,1
169.137552,1
169.147262,1
169.147481,1
169.151633,1
169.156972,1
169.158248,1
169.159206,1
169.166695,1
169.169015,1
169.176045,1
169.176418,1
169.179801,1
169.186141,1
169.186517,1
169.190587,1
169.195864,1
169.201373,1
169.205587,1
169.212159,1
169.214942,1
169.21531,1
169.222945,1
169.225033,1
169.233731,1
169.234756,1
169.242741,1
169.244479,1
169.244517,1
169.254202,1
169.255303,1
169.263925,1
169.266089,1
169.273648,1
169.276385,1
169.276875,1
169.283371,1
169.287661,1
169.287848,1
169.293092,1
169.298447,1
169.302813,1
169.304034,1
169.304799,1
169.30922,1
169.312534,1
169.319993,1
169.322255,1
169.327698,1
169.330766,1
169.331976,1
169.341539,1
169.341697,1
169.351418,1
169.352312,1
169.361139,1
169.363085,1
169.363369,1
169.37086,1
169.373858,1
169.380581,1
169.384631,1
169.387911,1
169.390302,1
169.395404,1
169.400023,1
169.406177,1
169.409744,1
169.410766,1
169.41695,1
169.419465,1
169.427723,1
169.429184,1
169.430528,1
169.438496,1
169.438903,1
169.447351,1
169.448622,1
169.449237,1
169.456799,1
169.458341,1
169.459978,1
169.46806,1
169.470719,1
169.470902,1
169.477779,1
169.48146,1
169.487498,1
169.492201,1
169.497217,1
169.502942,1
169.506936,1
169.5072,1
169.513683,1
169.516655,1
169.524424,1
169.526374,1
169.533473,1
169.535165,1
169.536093,1
169.545812,1
169.545906,1
169.553355,1
169.555531,1
169.556647,1
169.557782,1
169.565224,1
169.567388,1
169.574917,1
169.578129,1
169.581458,1
169.58161,1
169.58461,1
169.588848,1
169.594303,1
169.599567,1
169.603996,1
169.610286,1
169.613689,1
169.614282,1
169.621005,1
169.623382,1
169.631724,1
169.633075,1
169.641589,1
169.642443,1
169.642768,1
169.652461,1
169.653162,1
169.662154,1
169.663881,1
169.668123,1
169.671847,1
169.6746,1
169.68154,1
169.681936,1
169.685319,1
169.691233,1
169.696038,1
169.700935,1
169.703068,1
