Time,AccelerometerX,AccelerometerY,AccelerometerZ
82.00163,1.491,-10.362,0.483
82.011329,1.491,-10.375,0.56
82.021028,1.451,-10.357,0.683
82.030727,1.451,-10.371,0.76
82.040426,1.451,-10.398,0.915
82.050159,1.412,-10.425,1.069
82.059892,1.334,-10.425,1.069
82.069625,1.373,-10.387,1.076
82.079358,1.373,-10.355,1.122
82.089091,1.294,-10.369,1.199
82.098824,1.255,-10.33,1.206
82.108557,1.177,-10.343,1.283
82.11829,1.177,-10.273,1.335
82.128023,1.138,-10.241,1.381
82.137756,1.177,-10.248,1.419
82.147489,1.177,-10.171,1.433
82.157222,1.177,-10.184,1.51
82.166955,1.177,-10.191,1.549
82.176694,1.216,-10.198,1.588
82.186433,1.216,-10.128,1.64
82.196172,1.216,-10.121,1.601
82.205911,1.294,-10.134,1.678
82.21565,1.334,-10.141,1.717
82.225389,1.373,-10.155,1.794
82.235128,1.412,-10.162,1.833
82.244867,1.412,-10.168,1.872
82.254606,1.491,-10.168,1.872
82.264345,1.53,-10.175,1.91
82.274084,1.608,-10.137,1.917
82.283823,1.648,-10.137,1.917
82.293562,1.608,-10.091,1.885
82.303301,1.608,-10.098,1.924
82.313036,1.569,-10.098,1.924
82.322771,1.569,-10.105,1.962
82.332506,1.569,-10.066,1.969
82.342241,1.53,-10.066,1.969
82.351976,1.491,-9.989,1.983
82.361711,1.491,-9.989,1.983
82.371446,1.491,-9.912,1.996
82.381181,1.491,-9.912,1.996
82.390916,1.491,-9.789,1.978
82.400651,1.53,-9.744,1.946
82.410386,1.569,-9.744,1.946
82.420121,1.608,-9.828,1.971
82.429856,1.608,-9.905,1.958
82.439591,1.569,-9.95,1.99
82.449307,1.608,-9.905,1.958
82.459023,1.569,-9.943,1.951
82.468739,1.53,-9.957,2.028
82.478455,1.53,-9.95,1.99
82.488171,1.491,-9.912,1.996
82.497887,1.53,-9.905,1.958
82.507603,1.53,-9.898,1.919
82.517319,1.451,-9.93,1.874
82.527035,1.412,-9.853,1.887
82.536751,1.373,-9.814,1.894
82.546467,1.334,-9.775,1.901
82.556183,1.373,-9.859,1.926
82.565899,1.334,-9.859,1.926
82.575615,1.294,-9.943,1.951
82.585337,1.294,-9.891,1.881
82.595059,1.294,-9.968,1.867
82.604781,1.255,-9.955,1.79
82.614503,1.177,-9.948,1.751
82.624225,1.138,-9.903,1.719
82.633947,1.098,-9.857,1.687
82.643669,1.098,-9.805,1.617
82.653391,1.098,-9.805,1.617
82.663113,1.059,-9.805,1.617
82.672835,1.02,-9.759,1.585
82.682557,1.059,-9.759,1.585
82.692279,1.02,-9.759,1.585
82.702001,0.941,-9.798,1.578
82.711731,0.902,-9.823,1.494
82.721461,0.863,-9.9,1.481
82.731191,0.863,-9.932,1.435
82.740921,0.785,-10.016,1.46
82.750651,0.745,-10.048,1.415
82.760381,0.706,-9.971,1.428
82.770111,0.667,-10.009,1.422
82.779841,0.628,-10.009,1.422
82.789571,0.628,-10.003,1.383
82.799301,0.588,-9.957,1.351
82.809031,0.549,-9.957,1.351
82.818761,0.549,-9.88,1.365
82.828491,0.549,-9.919,1.358
82.838221,0.549,-9.957,1.351
82.847947,0.549,-9.989,1.306
82.857673,0.549,-10.028,1.299
82.867399,0.549,-10.112,1.324
82.877125,0.549,-10.144,1.278
82.886851,0.549,-10.091,1.208
82.896577,0.51,-10.053,1.215
82.906303,0.51,-10.014,1.222
82.916029,0.51,-10.021,1.26
82.925755,0.51,-10.014,1.222
82.935481,0.51,-10.007,1.183
82.945207,0.51,-9.994,1.106
82.954933,0.51,-10.025,1.06
82.964659,0.51,-9.987,1.067
82.974385,0.51,-9.903,1.042
82.984157,0.51,-9.871,1.088
82.993929,0.51,-9.825,1.056
83.003701,0.51,-9.819,1.017
83.013473,0.549,-9.812,0.978
83.023245,0.549,-9.896,1.003
83.033017,0.549,-9.935,0.997
83.042789,0.431,-9.973,0.99
83.052561,0.392,-10.012,0.983
83.062333,0.353,-10.044,0.938
83.072105,0.314,-10.075,0.892
83.081877,0.275,-10.114,0.885
83.091649,0.275,-10.114,0.885
83.101421,0.275,-10.075,0.892
83.111164,0.235,-10.044,0.938
83.120907,0.196,-10.005,0.944
83.13065,0.235,-10.005,0.944
83.140393,0.235,-9.96,0.913
83.150136,0.196,-9.928,0.958
83.159879,0.235,-9.889,0.965
83.169622,0.314,-9.882,0.926
83.179365,0.314,-9.844,0.933
83.189108,0.353,-9.837,0.894
83.198851,0.431,-9.805,0.94
83.208594,0.471,-9.844,0.933
83.218337,0.549,-9.805,0.94
83.22808,0.628,-9.805,0.94
83.237823,0.628,-9.805,0.94
83.247566,0.667,-9.766,0.947
83.257305,0.667,-9.805,0.94
83.267044,0.745,-9.812,0.978
83.276783,0.745,-9.85,0.972
83.286522,0.745,-9.896,1.003
83.296261,0.745,-9.935,0.997
83.306,0.745,-10.012,0.983
83.315739,0.745,-10.057,1.015
83.325478,0.706,-10.019,1.022
83.335217,0.745,-10.057,1.015
83.344956,0.785,-10.064,1.053
83.354695,0.745,-10.071,1.092
83.364434,0.706,-10.071,1.092
83.374173,0.667,-10.064,1.053
83.38388,0.628,-10.078,1.131
83.393587,0.588,-10.109,1.085
83.403294,0.588,-10.032,1.099
83.413001,0.549,-10,1.144
83.422708,0.549,-9.955,1.113
83.432415,0.549,-9.91,1.081
83.442122,0.549,-9.871,1.088
83.451829,0.549,-9.864,1.049
83.461536,0.588,-9.832,1.094
83.471243,0.628,-9.832,1.094
83.48095,0.588,-9.832,1.094
83.490657,0.628,-9.884,1.165
83.500364,0.628,-9.884,1.165
83.510071,0.667,-9.923,1.158
83.519746,0.667,-9.923,1.158
83.529421,0.628,-10.007,1.183
83.539096,0.706,-10.13,1.201
83.548771,0.745,-10.098,1.247
83.558446,0.785,-10.098,1.247
83.568121,0.824,-10.098,1.247
83.577796,0.824,-10.105,1.285
83.587471,0.863,-10.137,1.24
83.597146,0.824,-10.066,1.292
83.606821,0.824,-10.066,1.292
