Time,AccelerometerX,AccelerometerY,AccelerometerZ
80.008534,0.235,-9.987,1.744
80.018236,0.235,-10.039,1.815
80.027938,0.235,-10.039,1.815
80.03764,0.235,-10.084,1.847
80.047342,0.235,-10.123,1.84
80.057044,0.235,-10.175,1.91
80.066746,0.275,-10.175,1.91
80.076448,0.235,-10.221,1.942
80.08615,0.235,-10.175,1.91
80.095852,0.157,-10.137,1.917
80.105554,0.196,-10.105,1.962
80.115256,0.157,-10.066,1.969
80.124984,0.196,-10.028,1.976
80.134712,0.118,-10.021,1.937
80.14444,0.118,-10.066,1.969
80.154168,0.118,-10.028,1.976
80.163896,0.078,-9.996,2.021
80.173624,0.078,-9.989,1.983
80.183352,0.039,-10.08,2.047
80.19308,0.039,-10.08,2.047
80.202808,0.039,-10.087,2.085
80.212536,0.039,-10.08,2.047
80.222264,0.039,-10.003,2.06
80.231992,0,-10.003,2.06
80.24172,0.039,-10.003,2.06
80.251469,0.039,-9.971,2.106
80.261218,0.039,-9.964,2.067
80.270967,0.039,-9.93,1.874
80.280716,0.039,-9.982,1.944
80.290465,0.039,-10.028,1.976
80.300214,0.039,-10.028,1.976
80.309963,0,-10.021,1.937
80.319712,0,-10.014,1.899
80.329461,0,-10.007,1.86
80.33921,0,-9.962,1.828
80.348959,0,-9.923,1.835
80.358708,0,-9.916,1.797
80.368457,0,-9.903,1.719
80.378206,0,-9.941,1.712
80.387943,0,-9.889,1.642
80.39768,0,-9.934,1.674
80.407417,-0.039,-10.018,1.699
80.417154,-0.039,-10.012,1.66
80.426891,0,-10.005,1.622
80.436628,0.039,-10.012,1.66
80.446365,0.039,-9.973,1.667
80.456102,0.039,-9.966,1.628
80.465839,0,-10.005,1.622
80.475576,0,-9.991,1.544
80.485313,0,-9.9,1.481
80.49505,0,-9.9,1.481
80.504787,0,-9.9,1.481
80.514524,0,-9.939,1.474
80.524266,0.078,-9.939,1.474
80.534008,0.078,-9.953,1.551
80.54375,0.078,-9.978,1.467
80.553492,0.039,-9.971,1.428
80.563234,0.039,-9.957,1.351
80.572976,0,-9.989,1.306
80.582718,0,-9.989,1.306
80.59246,0,-9.975,1.228
80.602202,0.039,-9.969,1.19
80.611944,0.039,-10,1.144
80.621686,0.039,-10.007,1.183
80.631428,0.078,-10,1.144
80.64117,0.078,-9.969,1.19
80.65089,0.078,-9.93,1.197
80.66061,0.078,-9.846,1.172
80.67033,0.039,-9.853,1.21
80.68005,0.078,-9.782,1.263
80.68977,0.078,-9.769,1.185
80.69949,0.078,-9.807,1.178
80.70921,0.078,-9.8,1.14
80.71893,0.078,-9.839,1.133
80.72865,0.078,-9.871,1.088
80.73837,0.078,-9.948,1.074
80.74809,0.078,-9.916,1.119
80.75781,0.039,-9.962,1.151
80.76753,0.078,-10.046,1.176
80.77725,0,-10.2,1.149
80.786969,-0.039,-10.278,1.135
80.796688,-0.039,-10.362,1.16
80.806407,-0.039,-10.394,1.115
80.816126,-0.078,-10.239,1.142
80.825845,-0.078,-10.169,1.194
80.835564,-0.039,-10.137,1.24
80.845283,0,-10.234,1.342
80.855002,0,-10.332,1.444
80.864721,0.039,-10.248,1.419
80.87444,0.078,-10.164,1.394
80.884159,0.078,-10.35,1.322
80.893878,0.157,-10.621,1.274
80.903597,0.196,-10.821,1.279
80.913291,0.314,-10.93,1.219
80.922985,0.314,-11.007,1.206
80.932679,0.275,-10.793,1.124
80.942373,0.275,-10.575,1.242
80.952067,0.275,-10.278,1.135
80.961761,0.196,-10.173,0.994
80.971455,0.157,-10.187,1.072
80.981149,0.157,-10.205,0.949
80.990843,0.157,-10.255,0.781
81.000537,0.118,-10.235,0.665
81.010231,0.118,-10.323,0.49
81.019925,0.157,-10.316,0.451
81.029619,0.157,-10.194,0.433
81.039313,0.157,-10.03,0.183
81.049001,0.118,-9.894,0.088
81.058689,0.118,-9.821,-0.099
81.068377,0.078,-9.685,-0.194
81.078065,0.039,-9.382,-0.101
81.087753,0.039,-9.26,-0.119
81.097441,0.039,-9.169,-0.183
81.107129,0.078,-9.246,-0.196
81.116817,0.118,-9.394,-0.262
81.126505,0.118,-9.471,-0.276
81.136193,0.118,-9.426,-0.308
81.145881,0.118,-9.38,-0.34
81.155569,0.078,-9.426,-0.308
81.165257,0.118,-9.503,-0.321
81.174945,0.039,-9.523,-0.205
81.184633,0.039,-9.607,-0.18
81.194321,0.118,-9.614,-0.142
81.204009,0.118,-9.614,-0.142
81.213697,0.118,-9.698,-0.117
81.223385,0.157,-9.744,-0.085
81.233073,0.157,-9.828,-0.06
81.242761,0.196,-9.919,0.004
81.252449,0.157,-10.003,0.029
81.262137,0.196,-10.132,0.085
81.271825,0.196,-10.178,0.117
81.281513,0.196,-10.185,0.156
81.291201,0.196,-10.23,0.188
81.300889,0.196,-10.23,0.188
81.310552,0.196,-10.23,0.188
81.320215,0.157,-10.237,0.226
81.329878,0.157,-10.237,0.226
81.339541,0.118,-10.237,0.226
81.349204,0.157,-10.244,0.265
81.358867,0.118,-10.244,0.265
81.36853,0.157,-10.244,0.265
81.378193,0.118,-10.212,0.31
81.387856,0.157,-10.219,0.349
81.397519,0.196,-10.18,0.356
81.407182,0.196,-10.103,0.37
81.416845,0.118,-10.096,0.331
81.426508,0.078,-10.096,0.331
81.436171,0.118,-10.135,0.324
81.44583,0.078,-10.219,0.349
81.455489,0.039,-10.25,0.304
81.465148,0.039,-10.212,0.31
