Time,AccelerometerX,AccelerometerY,AccelerometerZ
70.005148,-0.549,-9.819,-1.014
70.014816,-0.392,-10.051,-1.055
70.024484,-0.314,-10.335,-1.026
70.034152,-0.353,-10.464,-0.969
70.04382,-0.353,-10.38,-0.994
70.053488,-0.392,-10.296,-1.019
70.063156,-0.431,-10.296,-1.019
70.072824,-0.51,-10.367,-1.071
70.082492,-0.588,-10.212,-1.044
70.09216,-0.628,-10.069,-1.178
70.101828,-0.588,-9.848,-1.298
70.111496,-0.549,-9.642,-1.342
70.121164,-0.471,-9.467,-1.43
70.130832,-0.471,-9.324,-1.564
70.1405,-0.392,-9.219,-1.705
70.150177,-0.275,-8.967,-1.78
70.159854,-0.235,-8.676,-1.848
70.169531,-0.314,-8.128,-1.792
70.179208,-0.275,-7.94,-1.958
70.188885,-0.314,-8.094,-1.985
70.198562,-0.392,-8.358,-2.071
70.208239,-0.471,-8.544,-2.144
70.217916,-0.549,-8.744,-2.139
70.227593,-0.628,-8.937,-2.173
70.23727,-0.745,-9.176,-2.176
70.246947,-0.824,-9.292,-2.196
70.256624,-0.745,-9.292,-2.196
70.266301,-0.745,-9.215,-2.182
70.275978,-0.706,-9.092,-2.201
70.285677,-0.667,-9.046,-2.232
70.295376,-0.588,-9.162,-2.253
70.305075,-0.51,-9.31,-2.319
70.314774,-0.51,-9.51,-2.314
70.324473,-0.51,-9.601,-2.251
70.334172,-0.549,-9.499,-2.153
70.343871,-0.628,-9.383,-2.132
70.35357,-0.667,-9.383,-2.132
70.363269,-0.785,-9.396,-2.055
70.372968,-0.863,-9.217,-1.944
70.382667,-0.941,-9.062,-1.917
70.392366,-1.059,-9.21,-1.982
70.402065,-1.098,-9.603,-2.012
70.411764,-1.138,-9.803,-2.007
70.421461,-1.177,-9.878,-2.26
70.431158,-1.059,-11.139,-3.239
70.440855,-1.098,-12.903,-3.629
70.450552,-1.294,-13.45,-3.009
70.460249,-1.216,-12.216,-2.552
70.469946,-0.941,-10.405,-2.432
70.479643,-0.549,-9.308,-2.557
70.48934,-0.157,-9.321,-2.48
70.499037,0.157,-9.837,-2.491
70.508734,0.314,-10.328,-2.419
70.518431,0.431,-10.38,-2.348
70.528128,0.549,-10.303,-2.335
70.537825,0.588,-10.18,-2.353
70.547522,0.706,-10.046,-2.21
70.557241,0.863,-10.003,-2.003
70.56696,0.902,-9.914,-1.828
70.576679,1.059,-9.846,-1.537
70.586398,1.334,-9.662,-1.226
70.596117,1.648,-9.489,-1.076
70.605836,1.961,-9.464,-0.992
70.615555,2.118,-9.53,-0.844
70.625274,2.118,-9.705,-0.755
70.634993,1.883,-9.957,-0.68
70.644712,1.608,-10.294,-0.58
70.654431,1.334,-10.507,-0.498
70.66415,1.059,-10.616,-0.558
70.673869,0.902,-10.455,-0.569
70.683582,0.706,-10.08,-0.662
70.693295,0.51,-9.737,-0.801
70.703008,0.275,-9.285,-0.88
70.712721,0,-8.91,-0.974
70.722434,-0.196,-8.703,-1.017
70.732147,-0.275,-8.651,-1.087
70.74186,-0.275,-8.599,-1.158
70.751573,-0.314,-8.54,-1.267
70.761286,-0.157,-8.442,-1.369
70.770999,0,-8.46,-1.492
70.780712,0.078,-8.59,-1.435
70.790425,0.078,-8.744,-1.462
70.800138,0,-8.785,-1.23
70.809851,-0.196,-8.799,-1.153
70.819553,-0.314,-9.03,-1.194
70.829255,-0.392,-9.392,-1.178
70.838957,-0.353,-9.599,-1.135
70.848659,-0.314,-9.542,-1.005
70.858361,-0.275,-9.412,-1.062
70.868063,-0.353,-9.38,-1.017
70.877765,-0.471,-9.394,-0.939
70.887467,-0.628,-9.478,-0.914
70.897169,-0.785,-9.858,-1.021
70.906871,-0.863,-10.528,-1.06
70.916573,-1.02,-11.078,-0.878
70.926275,-1.177,-11.414,-0.778
70.935977,-1.412,-11.998,-1.08
70.945679,-1.648,-13.355,-1.518
70.955406,-1.765,-14.3,-1.127
70.965133,-1.726,-14.611,-0.943
70.97486,-1.53,-14.295,-0.927
70.984587,-1.334,-13.402,-0.571
70.994314,-1.138,-12.052,-0.094
71.004041,-0.902,-10.75,-0.023
71.013768,-0.981,-10.105,-0.069
71.023495,-1.177,-10.33,-0.149
71.033222,-1.334,-10.616,0.12
71.042949,-1.53,-10.546,0.172
71.052676,-1.687,-10.237,0.226
71.062403,-1.804,-10.089,0.292
71.07213,-1.883,-10.25,0.304
71.081852,-1.883,-10.341,0.367
71.091574,-1.883,-10.335,0.329
71.101296,-1.844,-10.146,0.163
71.111018,-1.804,-9.876,0.21
71.12074,-1.648,-9.746,0.154
71.130462,-1.373,-9.68,0.006
71.140184,-1.177,-9.621,-0.103
71.149906,-1.059,-9.323,-0.21
71.159628,-1.059,-8.942,-0.342
71.16935,-1.02,-8.585,-0.558
71.179072,-0.941,-8.326,-0.671
71.188794,-0.863,-7.965,-0.687
71.198516,-0.667,-7.635,-0.749
71.208238,-0.314,-7.383,-0.824
71.217975,0,-7.278,-0.965
71.227712,0.314,-7.342,-1.056
71.237449,0.588,-7.451,-1.115
71.247186,0.745,-7.456,-1.315
71.256923,0.785,-7.526,-1.367
71.26666,0.745,-7.54,-1.29
71.276397,0.745,-7.74,-1.285
71.286134,0.588,-8.212,-1.09
71.295871,0.235,-8.79,-0.753
71.305608,-0.275,-9.303,-0.326
71.315345,-0.824,-9.564,0.026
71.325082,-1.334,-9.664,0.367
71.334819,-1.687,-9.814,0.54
71.344546,-1.961,-10.041,0.699
71.354273,-2.236,-10.307,0.851
71.364,-2.393,-10.618,1.035
71.373727,-2.589,-10.678,1.144
71.383454,-2.707,-10.537,1.249
71.393181,-2.824,-10.259,1.258
71.402908,-3.02,-9.982,1.267
71.412635,-3.177,-9.75,1.308
71.422362,-3.256,-9.564,1.381
71.432089,-3.256,-9.694,1.437
71.441816,-3.099,-9.984,1.506
71.451543,-2.942,-10.198,1.588
71.46127,-2.746,-10.082,1.608
71.470997,-2.471,-9.998,1.583
71.480743,-2.157,-10.012,1.66
71.490489,-2.001,-10.018,1.699
71.500235,-1.648,-10.057,1.692
71.509981,-1.294,-10.641,1.39
71.519727,-1.02,-12.159,0.963
71.529473,-0.941,-13.468,1.608
71.539219,-0.941,-13.15,2.74
71.548965,-0.824,-11.954,2.513
71.558711,-0.667,-11.209,2.126
71.568457,-0.353,-11.289,2.351
71.578203,0.235,-11.666,2.683
71.587949,0.745,-11.654,2.844
71.597695,1.059,-11.216,2.842
71.607425,0.981,-10.9,2.858
71.617155,0.745,-10.836,2.949
71.626885,0.549,-10.966,3.006
71.636615,0.471,-11.179,3.087
71.646345,0.51,-11.445,3.24
71.656075,0.549,-11.473,3.394
71.665805,0.785,-11.216,3.519
71.675535,1.138,-10.868,3.58
71.685265,1.491,-10.468,3.571
71.694995,1.608,-10.282,3.644
71.704725,1.648,-10.159,3.626
71.714455,1.687,-10.191,3.58
71.724185,1.687,-10.273,3.367
71.733915,1.765,-10.407,3.224
71.743651,1.726,-10.411,3.024
71.753387,1.569,-10.255,2.812
71.763123,1.294,-9.968,2.544
71.772859,0.941,-9.65,2.321
71.782595,0.706,-9.307,2.183
71.792331,0.745,-8.771,2.078
71.802067,1.098,-8.362,1.792
71.811803,1.373,-8.16,1.549
71.821539,1.373,-8.062,1.446
71.831275,1.02,-8.119,1.317
71.841011,0.628,-8.267,1.251
71.850747,0.431,-8.273,1.29
71.860483,0.431,-8.203,1.342
71.870211,0.667,-8.146,1.471
71.879939,0.785,-8.171,1.387
71.889667,0.785,-8.242,1.335
71.899395,0.706,-8.389,1.269
71.909123,0.667,-8.601,1.112
71.918851,0.706,-8.846,1.149
71.928579,0.863,-9.001,1.122
71.938307,0.981,-9.201,1.126
71.948035,0.941,-9.316,1.106
71.957763,0.785,-9.246,1.158
71.967491,0.588,-9.176,1.21
71.977219,0.314,-9.221,1.242
71.986947,0.196,-9.369,1.176
71.996675,0.196,-9.639,1.128
72.006413,0.078,-9.941,1.035
72.016151,0.078,-10.359,0.922
72.025889,0.039,-10.728,0.976
72.035627,-0.392,-10.832,1.117
72.045365,-0.706,-10.646,1.19
72.055103,-1.098,-11.068,0.876
72.064841,-1.334,-11.216,1.488
72.074579,-1.53,-10.702,1.738
72.084317,-1.687,-10.75,1.331
72.094055,-1.726,-11.673,1.367
72.103793,-1.844,-12.114,2.285
72.113531,-1.922,-11.639,2.528
72.123269,-2.001,-10.909,2.458
72.133003,-2.236,-10.275,2.251
72.142737,-2.354,-9.875,2.242
72.152471,-2.511,-9.475,2.233
72.162205,-2.511,-8.909,2.412
72.171939,-2.471,-8.537,2.558
72.181673,-2.354,-8.498,2.564
72.191407,-2.157,-8.796,2.671
72.201141,-1.961,-9.171,2.764
72.210875,-1.844,-9.468,2.871
72.220609,-1.726,-9.63,2.883
72.230343,-1.608,-9.7,2.83
72.240077,-1.451,-9.739,2.824
72.249811,-1.334,-9.662,2.837
72.259545,-1.177,-9.525,2.742
72.269272,-1.02,-9.589,2.651
72.278999,-0.902,-9.712,2.669
72.288726,-0.824,-9.814,2.571
72.298453,-0.706,-9.737,2.585
72.30818,-0.588,-9.53,2.542
72.317907,-0.51,-9.284,2.505
72.327634,-0.431,-9.046,2.508
72.337361,-0.431,-8.839,2.464
72.347088,-0.431,-8.832,2.426
72.356815,-0.353,-9.057,2.346
72.366542,-0.314,-9.373,2.33
72.376269,-0.275,-9.605,2.29
72.385996,-0.275,-9.528,2.303
72.395723,-0.314,-9.43,2.201
72.405421,-0.471,-9.269,2.19
72.415119,-0.628,-8.96,2.244
72.424817,-0.745,-8.573,2.312
72.434515,-0.785,-8.36,2.23
72.444213,-0.745,-8.391,2.185
72.453911,-0.706,-8.578,2.112
72.463609,-0.706,-8.81,2.071
72.473307,-0.706,-9.003,2.037
72.483005,-0.745,-8.971,2.083
72.492703,-0.824,-8.648,2.06
72.502401,-0.902,-8.255,2.089
72.512099,-1.059,-8.01,2.053
72.521797,-1.177,-8.094,2.078
72.531495,-1.177,-8.255,2.089
72.541186,-1.255,-8.476,2.21
72.550877,-1.294,-8.714,2.208
72.560568,-1.216,-8.875,2.219
72.570259,-1.177,-8.953,2.205
72.57995,-1.177,-8.978,2.121
72.589641,-1.177,-8.925,2.051
72.599332,-1.255,-8.848,2.065
72.609023,-1.334,-8.796,1.994
72.618714,-1.373,-8.925,2.051
72.628405,-1.412,-9.184,2.165
72.638096,-1.451,-9.43,2.201
72.647787,-1.451,-9.675,2.237
72.657478,-1.491,-9.907,2.196
72.667141,-1.412,-10.093,2.124
72.676804,-1.412,-10.228,1.981
72.686467,-1.373,-10.175,1.91
72.69613,-1.491,-9.937,1.912
72.705793,-1.451,-9.594,1.774
72.715456,-1.451,-9.355,1.776
72.725119,-1.373,-9.278,1.79
72.734782,-1.373,-9.355,1.776
72.744445,-1.334,-9.573,1.658
72.754108,-1.334,-10.055,1.453
72.763771,-1.373,-10.864,1.072
72.773434,-1.412,-11.825,1.101
72.783097,-1.373,-12.132,1.486
72.79276,-1.491,-12.141,1.086
72.802417,-1.608,-13.134,0.393
72.812074,-1.373,-13.684,1.252
72.821731,-1.177,-12.845,1.917
72.831388,-0.824,-11.796,1.385
72.841045,-0.628,-11.346,0.867
72.850702,-0.588,-11.83,0.901
72.860359,-0.431,-12.502,1.102
72.870016,-0.235,-12.698,1.306
72.879673,-0.314,-12.427,1.354
72.88933,-0.471,-12.041,1.422
72.898987,-0.51,-11.945,1.558
72.908644,-0.471,-12.075,1.615
72.918301,-0.392,-12.186,1.795
72.927932,-0.314,-12.2,1.872
72.937563,-0.275,-12.161,1.879
72.947194,-0.314,-12.066,2.015
72.956825,-0.431,-11.782,1.985
72.966456,-0.588,-11.33,1.906
72.976087,-0.706,-10.846,1.872
72.985718,-0.785,-10.271,1.774
72.995349,-0.745,-9.696,1.676
73.00498,-0.667,-9.185,1.487
73.014611,-0.628,-8.841,1.349
73.024242,-0.706,-8.582,1.235
73.033873,-0.902,-8.446,1.14
73.043504,-1.098,-8.355,1.076
73.053135,-1.255,-8.31,1.044
73.062765,-1.334,-8.296,0.967
73.072395,-1.255,-8.314,0.844
73.082025,-1.138,-8.36,0.876
73.091655,-0.981,-8.398,0.869
73.101285,-0.902,-8.36,0.876
73.110915,-0.824,-8.321,0.883
73.120545,-0.745,-8.251,0.935
73.130175,-0.628,-8.167,0.91
73.139805,-0.588,-8.096,0.962
73.149435,-0.51,-8.096,0.962
73.159065,-0.314,-8.135,0.956
73.168695,-0.078,-8.173,0.949
73.178325,0.157,-8.335,0.96
73.187943,0.235,-8.528,0.926
73.197561,0.235,-8.58,0.996
73.207179,0.118,-8.51,1.049
73.216797,0.039,-8.394,1.069
73.226415,0.078,-8.31,1.044
73.236033,0.235,-8.444,0.901
73.245651,0.471,-8.732,0.731
73.255269,0.824,-8.957,0.651
73.264887,1.098,-8.996,0.644
73.274505,1.098,-8.776,0.524
73.284123,0.941,-8.53,0.487
73.293741,0.785,-8.471,0.378
73.303359,0.706,-8.651,0.267
73.312977,0.588,-8.798,0.201
73.322615,0.51,-9.01,0.044
73.332253,0.51,-9.137,-0.137
73.341891,0.235,-9.31,-0.287
73.351529,-0.157,-9.412,-0.385
73.361167,-0.628,-9.398,-0.462
73.370805,-1.059,-9.353,-0.494
73.380443,-1.412,-9.153,-0.499
73.390081,-1.687,-8.626,-0.326
73.399719,-1.922,-8.085,-0.231
73.409357,-2.197,-7.512,-0.09
73.418995,-2.393,-7.262,0.074
73.428633,-2.511,-7.487,-0.006
73.438271,-2.511,-8.537,-0.151
73.447921,-2.55,-10.48,-0.653
73.457571,-2.589,-12.687,-0.564
73.467221,-2.785,-14.438,-0.116
73.476871,-2.667,-15.366,-0.28
73.486521,-2.432,-15.42,-0.648
73.496171,-2.471,-14.813,-0.7
73.505821,-2.55,-13.82,-0.684
73.515471,-2.589,-12.743,-0.694
73.525121,-2.707,-11.918,-0.628
73.534771,-2.903,-11.7,-0.51
73.544421,-2.981,-12.023,-0.487
73.554071,-2.824,-12.675,-0.403
73.563721,-2.628,-13.127,-0.323
73.573371,-2.471,-13.077,-0.155
73.583025,-2.314,-13.032,-0.187
73.592679,-2.157,-12.846,-0.114
73.602333,-1.961,-12.691,-0.087
73.611987,-1.844,-12.448,0.115
73.621641,-1.844,-11.959,0.281
73.631295,-1.844,-11.109,0.431
73.640949,-1.804,-10.221,0.588
73.650603,-1.844,-9.403,0.692
73.660257,-1.804,-8.862,0.787
73.669911,-1.687,-8.682,0.899
73.679565,-1.451,-8.78,1.001
73.689219,-1.138,-8.71,1.053
73.698873,-0.902,-8.348,1.037
73.708527,-0.628,-8.019,0.976
73.718221,-0.51,-7.689,0.915
73.727915,-0.588,-7.374,0.93
73.737609,-0.745,-7.185,0.765
73.747303,-0.824,-7.224,0.758
73.756997,-0.902,-7.34,0.737
73.766691,-0.902,-7.378,0.73
73.776385,-0.667,-7.442,0.64
73.786079,-0.392,-7.421,0.524
73.795773,-0.157,-7.299,0.505
73.805467,0.039,-7.074,0.585
73.815161,0.039,-6.926,0.651
73.824855,-0.039,-6.642,0.621
73.834549,-0.235,-6.642,0.621
73.844269,-0.51,-7.042,0.63
73.853989,-0.667,-7.63,0.805
73.863709,-0.785,-8.226,1.019
73.873429,-0.824,-8.653,1.183
73.883149,-0.863,-8.951,1.29
73.892869,-0.902,-9.21,1.403
73.902589,-1.02,-9.616,1.451
73.912309,-1.098,-10.1,1.485
73.922029,-1.177,-10.521,1.61
73.931749,-1.216,-10.766,1.647
73.941469,-1.177,-10.58,1.719
73.951189,-1.177,-9.98,1.706
73.960909,-1.138,-9.373,1.653
73.970629,-1.294,-9.032,1.753
73.98035,-1.53,-9.028,1.953
73.990071,-1.765,-9.269,2.19
73.999792,-2.001,-9.482,2.271
74.009513,-2.118,-9.78,2.378
74.019234,-2.079,-10.032,2.453
74.028955,-1.961,-10.064,2.408
74.038676,-1.687,-10.03,2.215
74.048397,-1.451,-10.041,2.053
74.058118,-1.294,-10.355,1.799
74.067839,-1.373,-10.975,1.928
74.07756,-1.491,-11.352,2.26
74.087281,-1.648,-11.63,2.251
74.097002,-1.765,-12.354,1.845
74.106723,-1.765,-13.477,1.886
