Time,AccelerometerX,AccelerometerY,AccelerometerZ
90.003585,-1.294,-10.839,1.156
90.013273,-1.216,-9.837,1.572
90.022961,-1.098,-9.471,1.756
90.032649,-1.059,-9.839,1.81
90.042337,-1.138,-10.459,1.94
90.052025,-1.334,-10.936,1.935
90.061713,-1.687,-11.35,2.022
90.071401,-2.118,-11.511,2.033
90.081089,-2.471,-11.564,2.104
90.090774,-2.746,-11.53,1.91
90.100459,-2.864,-11.484,1.879
90.110144,-2.864,-11.432,1.808
90.119829,-2.628,-11.236,1.604
90.129514,-2.511,-10.925,1.419
90.139199,-2.354,-10.543,1.288
90.148884,-2.118,-10.162,1.156
90.158569,-1.922,-9.735,0.992
90.168254,-1.648,-9.448,0.724
90.177939,-1.491,-9.253,0.519
90.187624,-1.294,-9.051,0.276
90.197309,-1.138,-8.887,0.026
90.206994,-0.981,-8.699,-0.14
90.216679,-0.824,-8.51,-0.306
90.226364,-0.628,-8.451,-0.415
90.236049,-0.353,-8.321,-0.471
90.245734,-0.196,-8.321,-0.471
90.255419,-0.078,-8.521,-0.467
90.265104,-0.039,-8.889,-0.412
90.274789,-0.039,-9.303,-0.326
90.284474,-0.078,-9.896,-0.351
90.294159,-0.157,-10.387,-0.278
90.303844,-0.235,-10.769,-0.146
90.313529,-0.314,-10.944,-0.058
90.323214,-0.392,-11.196,0.017
90.332899,-0.588,-11.23,0.211
90.342584,-0.785,-11.075,0.238
90.352269,-0.981,-10.798,0.247
90.361987,-1.138,-10.45,0.308
90.371705,-1.294,-10.057,0.338
90.381423,-1.53,-9.546,0.149
90.391141,-1.608,-9.105,-0.092
90.400859,-1.687,-8.717,-0.262
90.410577,-1.804,-8.335,-0.394
90.420295,-1.922,-8.171,-0.644
90.430013,-1.922,-8.035,-0.74
90.439731,-1.922,-7.983,-0.81
90.449449,-1.961,-7.962,-0.926
90.459167,-1.922,-8.096,-1.069
90.468885,-1.844,-8.308,-1.226
90.478603,-1.804,-8.54,-1.267
90.488325,-1.844,-8.817,-1.276
90.498047,-1.804,-9.126,-1.33
90.507769,-1.765,-9.533,-1.283
90.517491,-1.687,-9.855,-1.26
90.527213,-1.569,-10.076,-1.139
90.536935,-1.491,-10.148,-0.953
90.546657,-1.412,-10.169,-0.837
90.556379,-1.334,-10.53,-0.821
90.566101,-1.216,-11.137,-0.769
90.575823,-1.177,-11.519,-0.637
90.585545,-1.177,-11.732,-0.555
90.595267,-1.098,-12.009,-0.564
90.604989,-1.02,-12.537,-0.737
90.614711,-0.941,-12.673,-0.641
90.624433,-0.863,-12.209,-0.56
90.634155,-0.785,-11.809,-0.569
90.643877,-0.706,-11.307,-0.48
90.653599,-0.471,-10.875,-0.444
90.663321,-0.157,-10.655,-0.564
90.673043,0.157,-10.719,-0.655
90.682765,0.471,-10.776,-0.785
90.692487,0.785,-10.762,-0.862
90.702209,1.059,-10.696,-1.01
90.711931,1.255,-10.521,-1.098
90.721653,1.491,-10.385,-1.194
90.731375,1.608,-10.23,-1.167
90.741097,1.765,-10.03,-1.171
90.750819,1.922,-9.869,-1.183
90.760527,2.157,-9.83,-1.176
90.770235,2.275,-9.844,-1.098
90.779943,2.354,-9.812,-1.053
90.789651,2.393,-9.78,-1.008
90.799359,2.275,-9.742,-1.001
90.809067,2.079,-9.717,-0.917
90.818775,1.922,-9.755,-0.923
90.828483,1.648,-9.685,-0.871
90.838191,1.412,-9.608,-0.858
90.847899,1.216,-9.537,-0.805
90.857607,0.941,-9.453,-0.83
90.867315,0.667,-9.408,-0.862
90.877023,0.392,-9.278,-0.919
90.886731,0.157,-9.219,-1.028
90.896448,0,-9.089,-1.085
90.906165,-0.196,-9.076,-1.162
90.915882,-0.275,-9.055,-1.278
90.925599,-0.314,-9.035,-1.394
