Time,AccelerometerX,AccelerometerY,AccelerometerZ
76.002324,0.078,-9.324,-2.919
76.011964,0.078,-9.401,-2.932
76.021604,0.078,-9.362,-2.925
76.031244,0.157,-9.324,-2.919
76.040884,0.196,-9.433,-2.978
76.050524,0.196,-9.535,-3.075
76.060164,0.275,-9.658,-3.057
76.069804,0.314,-9.703,-3.025
76.079444,0.353,-9.671,-2.98
76.089084,0.353,-9.717,-2.948
76.098724,0.314,-9.762,-2.916
76.108386,0.275,-9.833,-2.969
76.118048,0.118,-9.86,-2.814
76.12771,0.078,-9.783,-2.8
76.137372,0.039,-9.776,-2.839
76.147034,0,-9.674,-2.741
76.156696,-0.078,-9.571,-2.644
76.166358,-0.118,-9.456,-2.623
76.17602,-0.118,-9.417,-2.616
76.185682,-0.157,-9.456,-2.623
76.195344,-0.196,-9.558,-2.721
76.205006,-0.196,-9.635,-2.735
76.214668,-0.235,-9.726,-2.671
76.22433,-0.275,-9.765,-2.678
76.234007,-0.314,-9.726,-2.671
76.243684,-0.314,-9.694,-2.625
76.253361,-0.314,-9.719,-2.71
76.263038,-0.353,-9.712,-2.748
76.272715,-0.392,-9.815,-2.846
76.282392,-0.471,-9.776,-2.839
76.292069,-0.588,-9.769,-2.878
76.301746,-0.706,-9.724,-2.91
76.311423,-0.785,-9.608,-2.889
76.3211,-0.902,-9.556,-2.96
76.330777,-1.02,-9.562,-2.921
76.340454,-1.059,-9.499,-2.83
76.350131,-1.098,-9.408,-2.894
76.359808,-1.059,-9.285,-2.912
76.369503,-0.981,-9.369,-2.887
76.379198,-0.941,-9.447,-2.9
76.388893,-0.863,-9.608,-2.889
76.398588,-0.785,-9.851,-3.091
76.408283,-0.706,-10.012,-3.08
76.417978,-0.706,-10.006,-3.119
76.427673,-0.628,-10.031,-3.203
76.437368,-0.588,-10.044,-3.125
76.447063,-0.51,-10.012,-3.08
76.456758,-0.431,-9.921,-3.144
76.466453,-0.471,-9.896,-3.059
76.476148,-0.51,-9.833,-2.969
76.485843,-0.549,-9.756,-2.955
76.495538,-0.588,-9.724,-2.91
76.505234,-0.706,-9.935,-3.066
76.51493,-0.824,-10.205,-3.114
76.524626,-0.941,-10.387,-2.987
76.534322,-1.059,-10.362,-2.903
76.544018,-1.177,-10.299,-2.812
76.553714,-1.216,-10.196,-2.714
76.56341,-1.255,-10.144,-2.784
76.573106,-1.294,-10.292,-2.85
76.582802,-1.294,-10.742,-3.009
76.592498,-1.294,-11.442,-3.332
76.602194,-1.373,-11.912,-3.375
76.61189,-1.451,-11.957,-3.343
76.621586,-1.491,-11.592,-3.159
76.631282,-1.491,-10.942,-3.005
76.640978,-1.569,-10.433,-2.955
76.65067,-1.648,-10.021,-2.803
76.660362,-1.765,-9.546,-2.56
76.670054,-1.726,-9.122,-2.485
76.679746,-1.648,-8.837,-2.514
76.689438,-1.608,-8.683,-2.487
76.69913,-1.569,-8.599,-2.512
76.708822,-1.53,-8.631,-2.557
76.718514,-1.491,-8.61,-2.673
76.728206,-1.53,-8.656,-2.642
76.737898,-1.53,-8.688,-2.687
76.74759,-1.569,-8.603,-2.712
76.757282,-1.608,-8.597,-2.751
76.766974,-1.53,-8.66,-2.841
76.776702,-1.491,-8.878,-2.96
76.78643,-1.569,-9.058,-3.071
76.796158,-1.569,-9.167,-3.13
76.805886,-1.608,-9.103,-3.039
76.815614,-1.687,-8.847,-2.914
76.825342,-1.687,-8.622,-2.835
76.83507,-1.687,-8.583,-2.828
76.844798,-1.726,-8.474,-2.769
76.854526,-1.765,-8.526,-2.698
76.864254,-1.765,-8.513,-2.776
76.873982,-1.726,-8.551,-2.782
76.88371,-1.765,-8.597,-2.751
76.893438,-1.726,-8.533,-2.66
76.903164,-1.726,-8.36,-2.51
76.91289,-1.687,-8.174,-2.437
76.922616,-1.687,-8.033,-2.333
76.932342,-1.687,-8.019,-2.41
76.942068,-1.726,-8.103,-2.385
76.951794,-1.726,-8.188,-2.36
76.96152,-1.726,-8.265,-2.373
76.971246,-1.648,-8.388,-2.355
76.980972,-1.608,-8.472,-2.33
76.990698,-1.53,-8.472,-2.33
77.000424,-1.491,-8.51,-2.337
77.01015,-1.491,-8.556,-2.305
77.019876,-1.451,-8.665,-2.364
77.029602,-1.451,-8.787,-2.346
77.039358,-1.412,-8.787,-2.346
77.049114,-1.294,-8.858,-2.398
77.05887,-1.294,-9.083,-2.478
77.068626,-1.216,-9.456,-2.623
77.078382,-1.216,-9.951,-2.75
77.088138,-1.216,-10.33,-2.857
77.097894,-1.216,-10.664,-2.996
77.10765,-1.138,-10.999,-3.134
77.117406,-1.138,-11.378,-3.241
77.127162,-1.138,-11.61,-3.282
77.136918,-1.138,-11.771,-3.271
77.146674,-1.138,-11.855,-3.246
77.15643,-1.02,-11.932,-3.259
77.166214,-0.981,-12.087,-3.286
77.175998,-0.824,-12.28,-3.32
77.185782,-0.628,-12.635,-3.343
77.195566,-0.392,-13.214,-3.445
77.20535,-0.235,-14.134,-3.647
77.215134,-0.275,-14.509,-3.554
77.224918,-0.431,-13.809,-3.232
77.234702,-0.314,-13.121,-3.07
77.244486,-0.157,-13.341,-2.95
77.25427,-0.078,-14.162,-2.816
77.264054,-0.078,-14.598,-2.375
77.273838,-0.039,-13.862,-1.807
77.283622,0.196,-12.718,-1.287
77.293406,0.667,-11.523,-0.837
77.303183,1.138,-10.662,-0.526
77.31296,1.334,-10.582,-0.751
77.322737,1.216,-11.051,-1.032
77.332514,0.941,-11.423,-1.178
77.342291,0.706,-11.351,-1.364
77.352068,0.431,-10.955,-1.573
77.361845,0.078,-10.233,-1.605
77.371622,-0.157,-9.278,-1.596
77.381399,-0.353,-8.317,-1.626
77.391176,-0.471,-7.594,-1.658
77.400953,-0.549,-6.969,-1.587
