Time,AccelerometerX,AccelerometerY,AccelerometerZ
108.00773,-0.902,-11.662,0.174
108.01739,-0.745,-12.261,0.188
108.02705,-0.51,-13.432,-0.178
108.03671,-0.196,-14.47,-0.162
108.04637,-0.118,-13.466,0.693
108.05603,-0.118,-11.921,0.965
108.06569,0.157,-11.103,0.392
108.07537,0.078,-10.712,0.66
108.08505,0.235,-10.516,1.133
108.09473,0.51,-10.716,1.138
108.10441,0.588,-11.334,1.029
108.11409,0.588,-11.93,1.242
108.12377,0.628,-12.177,1.517
108.13345,0.667,-12.132,1.486
108.14313,0.706,-12.143,1.324
108.15281,0.785,-12.161,1.201
108.16249,0.824,-12.082,0.977
108.17217,0.785,-11.764,0.754
108.18185,0.706,-11.273,0.681
108.19153,0.667,-10.519,0.695
108.201225,0.431,-9.746,0.831
108.21092,0.235,-8.889,0.942
108.220615,-0.039,-8.239,1.096
108.23031,-0.196,-7.699,1.192
108.240005,-0.431,-7.358,1.292
108.2497,-0.588,-7.094,1.378
108.259395,-0.785,-6.965,1.321
108.26909,-0.981,-6.874,1.258
108.278785,-1.138,-6.853,1.142
108.28848,-1.177,-6.91,1.012
108.298175,-1.177,-7.121,0.855
108.30787,-1.138,-7.34,0.737
108.317565,-1.177,-7.558,0.619
108.32726,-1.02,-7.667,0.56
108.336953,-0.981,-7.737,0.508
108.346646,-0.941,-7.814,0.494
108.356339,-0.902,-7.951,0.59
108.366032,-0.902,-7.939,0.751
108.375725,-0.941,-7.889,0.919
108.385418,-1.02,-7.93,1.151
108.395111,-1.059,-8.126,1.355
108.404804,-1.059,-8.296,1.644
108.414497,-1.059,-8.503,1.687
108.42419,-1.02,-9.025,1.715
108.433883,-1.059,-9.709,1.753
108.443576,-1.138,-10.671,1.783
108.453269,-1.216,-11.645,1.89
108.462962,-1.334,-12.304,2.013
108.472652,-1.451,-12.441,2.108
108.482342,-1.53,-12.279,2.097
108.492032,-1.608,-12.202,2.11
108.501722,-1.765,-12.114,2.285
108.511412,-1.961,-11.85,2.372
108.521102,-2.118,-11.67,2.483
108.530792,-2.275,-11.761,2.547
